,缺失率,重复数
PT,0.0,0
AU,0.0001490979573579842,0
AF,0.0001490979573579842,0
GP,0.8271954674220963,0
TI,0.0,0
SO,0.0,0
LA,0.0,0
DT,0.0,0
CT,0.669002534665275,0
CY,0.669002534665275,0
CL,0.669002534665275,0
SP,0.7434024153869092,0
DE,0.13940659012971524,0
AB,0.019084538541821978,0
C1,0.007603995825257194,0
C3,0.04547487699418518,0
RP,0.009094975398837036,0
EM,0.08006560310123752,0
RI,0.27866408230207246,0
CR,0.010436857015058894,0
NR,0.0,0
TC,0.0,0
Z9,0.0,0
U1,0.0,0
U2,0.0,0
PU,0.0,0
PI,0.0,0
PA,0.0,0
BN,0.707320709706277,0
PY,0.0,0
PG,0.0,0
WC,0.0004472938720739526,0
WE,0.0,0
SC,0.0004472938720739526,0
GA,0.0,0
UT,0.0,0
DA,0.0,0
ID,0.28149694349187415,0
OI,0.3029670493514239,0
AR,0.6950946772029223,0
DI,0.0001490979573579842,0
BP,0.3663336812285672,0
EP,0.3663336812285672,0
SE,0.7775458476218876,0
SN,0.17817205904279113,0
J9,0.0811092888027434,0
HO,0.9388698374832265,0
FU,0.39660056657223797,0
FX,0.41359773371104813,0
EI,0.36364991799612345,0
JI,0.30117787386312805,0
PD,0.38825108096019084,0
VL,0.22126136871924854,0
IS,0.518711793648427,0
BE,0.8693901893544058,0
SI,0.9679439391680335,0
PM,0.5959445355598628,0
OA,0.6442522737438497,0
EA,0.8896675115550917,0
SU,0.9938869837483226,0
BA,0.9994036081705681,0
BF,0.9994036081705681,0
PN,0.9788280900551662,0
HC,0.9943342776203966,0
HP,0.9943342776203966,0
MA,0.9997018040852841,0
D2,0.999850902042642,0
CA,0.999552706127926,0
